5375	11747
11062	11907
14034	18958
5048	15074
2038	11049
14763	17911
1842	2695
4340	4411
11533	13449
0	14442
3093	9998
3287	17046
3136	18659
2584	15468
1248	13757
687	13502
4993	17034
11015	11286
10532	14327
12924	15458
7311	18381
14515	16264
689	11409
3715	5440
867	18263
1395	18576
9993	10374
4878	13739
17405	17911
2304	13385
9014	11335
144	14651
8288	18619
1136	16660
2171	3640
11839	16684
5718	12003
4263	7842
2195	11275
91	13938
6541	7712
17815	17824
4846	13325
9808	16216
12483	15831
8064	13846
10463	16964
7939	8115
4040	12884
6833	12304
11823	19029
9004	13475
442	9416
7225	16654
8998	11823
2462	14353
8919	17649
5368	16754
2809	7716
6579	18495
4991	18582
4323	12439
8841	16383
6468	18847
60	15029
11422	12019
3171	11838
11077	13471
9580	11157
1633	18576
7867	7994
13377	13705
4181	15409
2361	10461
10769	15591
474	12150
11991	18011
8369	10119
1586	14857
15575	15851
1891	7123
13170	15907
8656	11233
1152	8599
6626	15025
2886	13009
9943	11386
10540	10593
5132	11467
9707	18455
5024	17521
4647	14990
2725	16125
15003	19393
248	11015
7110	10575
957	11982
11894	18058
8998	16720
1911	12638
2915	6110
1135	10055
370	16546
12459	15722
5596	17415
1742	10253
2680	10046
6668	9315
3026	18893
2425	6692
1852	8289
8476	16462
6354	14135
10198	14175
8093	11292
1681	5151
2039	3746
384	12816
8127	15025
2554	10754
15722	18542
9864	15888
6382	12839
3137	6223
3878	9437
5906	7531
642	15863
7388	11024
5327	14092
9171	10294
14742	19317
3702	15325
13864	15007
3908	12105
1740	4391
11209	15884
16696	18830
1118	4141
8342	9595
6828	11456
4687	5988
12150	19068
3288	13336
787	17839
7336	15368
8192	15325
4152	9808
1621	7711
1169	11232
12105	12839
1216	2365
1174	1883
10285	18801
5602	18874
1174	2456
10269	15390
3273	9527
5265	12251
4672	10880
1473	13086
7456	9666
3451	15237
1242	19536
5157	15971
5096	12431
3908	8556
2756	4673
47	16242
2463	4632
7314	18813
7250	8694
8498	11357
12643	13272
628	8266
10627	12263
5622	12786
7326	18891
6723	7134
903	2371
11637	13114
5614	6210
265	9720
5019	8630
12877	17508
7813	14110
3333	4400
8290	12673
1385	5555
258	11499
10743	15167
